name,handedness,height,weight,avg,HR
Denny Lemaster,Right, 73, 182, 0.130, 4
Joe Nolan,Left, 71, 175, 0.263, 27
Denny Doyle,Left, 69, 175, 0.250, 16
Jose Cardenal,Right, 70, 150, 0.275, 138
Mike Ryan,Right, 74, 205, 0.193, 28
Fritz Peterson,Both, 72, 185, 0.159, 2
Dick Bertell,Right, 72, 200, 0.250, 10
Rod Kanehl,Right, 73, 180, 0.241, 6
Juan Bonilla,Right, 69, 170, 0.256, 7
Frank Tepedino,Left, 71, 185, 0.241, 6
Rick Wise,Right, 73, 180, 0.195, 15
Darrell Evans,Left, 74, 200, 0.248, 414
Buck Martinez,Right, 70, 190, 0.225, 58
John Wockenfuss,Right, 72, 190, 0.262, 86
Tommy McCraw,Left, 72, 183, 0.246, 75
Lee Lacy,Right, 73, 175, 0.286, 91
Pete Rose,Both, 71, 192, 0.303, 160
Danny Walton,Right, 72, 195, 0.223, 28
Bobby Cox,Right, 71, 180, 0.225, 9
Brad Wellman,Right, 72, 170, 0.231, 6
Jeff Newman,Right, 74, 215, 0.224, 63
Pedro Gonzalez,Right, 72, 176, 0.244, 8
Tommie Reynolds,Right, 74, 190, 0.226, 12
Gene Clines,Right, 69, 170, 0.277, 5
Jim Hickman,Right, 75, 192, 0.252, 159
Jack Billingham,Right, 76, 195, 0.111, 0
Jerry Buchek,Right, 71, 185, 0.220, 22
Ivan DeJesus,Right, 71, 175, 0.254, 21
Gary Nolan,Right, 74, 197, 0.138, 1
Fred Whitfield,Left, 73, 190, 0.253, 108
Larry Dierker,Right, 76, 215, 0.136, 4
Dave Skaggs,Right, 74, 200, 0.241, 3
Dick Ruthven,Right, 75, 190, 0.183, 1
Dave Kingman,Right, 78, 210, 0.236, 442
Eric Soderholm,Right, 71, 187, 0.264, 102
Ed Brinkman,Right, 72, 170, 0.224, 60
Wayne Garrett,Left, 71, 175, 0.239, 61
Tony Muser,Left, 74, 180, 0.259, 7
Ted Ford,Right, 70, 180, 0.219, 17
Jim Lyttle,Left, 72, 180, 0.248, 9
Scot Thompson,Left, 75, 195, 0.262, 5
Gene Locklear,Left, 70, 165, 0.274, 9
Bo Diaz,Right, 71, 185, 0.255, 87
Bump Wills,Both, 69, 172, 0.266, 36
Pat Putnam,Left, 72, 205, 0.255, 63
Kurt Bevacqua,Right, 72, 180, 0.236, 27
Syd O'Brien,Right, 73, 185, 0.230, 24
Chris Chambliss,Left, 73, 195, 0.279, 185
Tom Satriano,Left, 73, 185, 0.225, 21
Jeffrey Leonard,Right, 74, 200, 0.266, 144
Dal Maxvill,Right, 71, 157, 0.217, 6
Cesar Tovar,Right, 69, 155, 0.278, 46
Mickey Lolich,Both, 73, 170, 0.110, 0
Jack Heidemann,Right, 72, 175, 0.211, 9
Rich Rollins,Right, 70, 185, 0.269, 77
Walt Bond,Left, 79, 228, 0.256, 41
Merv Rettenmund,Right, 70, 190, 0.271, 66
Byron Browne,Right, 74, 190, 0.236, 30
Hector Torres,Right, 72, 175, 0.216, 18
Walt Williams,Right, 66, 165, 0.270, 33
Jerry Koosman,Right, 74, 205, 0.119, 2
Steve Lombardozzi,Right, 72, 175, 0.233, 20
Joe Azcue,Right, 72, 190, 0.252, 50
Elliott Maddox,Right, 71, 180, 0.261, 18
Omar Moreno,Left, 74, 180, 0.252, 37
Julian Javier,Right, 73, 175, 0.257, 78
Elio Chacon,Right, 69, 160, 0.232, 4
